"Menu","Resto","Nutri score","Eco score","Vegetarien spcécifé","Origine","Prix etudiant","Prix doctorant","Prix visiteur","Prix campus","Prix /100g","Prix etudiant /100g","Prix unique","Prix demi portion","Prix (non traité)","date"
"Notre carte de Pizzas:
Assortiment varié (4 saisons, Reine,  buffalina...)","Piano","b-","e","","","","","","","","","13.50","","13.50 CHF","1/11/2022"
"Salade végétarienne:
Pousse d'épinards, Courge rôtie, Gruyère Suisse, Noix, Falafel et Origan frais vegetarian","Piano","c","d","1","","","","","","","","11.00","","11.00 CHF","1/11/2022"
"BOWL OF THE DAY
(Sesame shrimp, Falafel, Rice noodles, White cabbage, Cucumber, Chinese cabbage, black and white beans with parsley, Spinach flan and Corn on the cob)","Zaha","b-","e","","","","","","","","","½ 7.50","7.5","½ 7.50 CHF12.00 CHF","1/11/2022"
"Chef Noï's Asia salad","Alpine","b-","b","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/12/2022"
"Marinated Tilapia ASC fillet
Couscous
Tajine vegetables","Alpine","a-","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/12/2022"
"Beef Meatballs
with three flavors
Stir-fried noodles with Chinese cabbage","Alpine","b+","c","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","1/12/2022"
"Homemade Tartiflette with Valais RacletteOrigin: suisse","Alpine","d","c","","suisse","12.5","13","14.5","13.5","","","","","E 12.50 CHFD 13.00 CHFC 13.50 CHFV 14.50 CHF","1/12/2022"
"Orecchiette with anchovies, broccoli cream, almonds and olives
				
Origin: Espagne","Arcadie","a","c","","Espagne","","","","","2.3","","","","2.30 CHF/100g","1/12/2022"
"Whole wheat penne gratin with cream of squash and grana padano vegetarian","Arcadie","a","b","1","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/12/2022"
"Mozzarella balls, dried tomatoes, capers, caponata, wheat semolina, salad vegetarian","Arcadie","b+","c","1","","","","","","","","12.00","","12.00 CHF","1/12/2022"
"Yellow chicken breast
Shallot sauce
Roasted potatoes
Candied spinachOrigin: Suisse","Campus Biotech","a","e","","Suisse","","","","","","","0.00","","0.00 CHF","1/12/2022"
"Nasi Goreng with vegetables vegetarian","Epicure","a","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","1/12/2022"
"Mountain Pasta Gratin
or
Pasta with Neapolitan sauce","Esplanade","b","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/12/2022"
"Pizza margherita","Esplanade","b","c","","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/12/2022"
"Flammenkuche with bacon and onions","Esplanade","b","c","","","9","10","12","11","","","","","E 9.00 CHFD 10.00 CHFC 11.00 CHFV 12.00 CHF","1/12/2022"
"Salade végétarienne:
Pousse d'épinards, Courge rôtie, Gruyère Suisse, Noix, Falafel et Origan frais vegetarian","Giacometti","c","d","1","","","","","","","","8.00","","8.00 CHF","1/12/2022"
"Salade de saison au poulet:
Mesclun, champignons poêlés, choux rouge vinaigré framboise, poulet et croutons aux herbes Origin: CH","Giacometti","b","e","","CH","","","","","","","8.00","","8.00 CHF","1/12/2022"
"Notre gamme de sandwichs:
Assortiment varié (Dinde fumée, tomate mozza...)","Giacometti","b-","e","","","","","","","","","7.00","","7.00 CHF","1/12/2022"
"Vegetarian Lasagna
Vegetarian Bolognese Compound
Red chicory and hazelnut salad","La Ruche","b+","c","","","8","9","0","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 0.00 CHF","1/12/2022"
"Roast pork with prunes
Gratin dauphinois and cauliflowerOrigin: Suisse","La Ruche","a","d","","Suisse","11","12","14","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","1/12/2022"
"Macaroni du Chalet (leeks, Gruyère) vegetarian","Le Klee by Novae","a-","b","1","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/12/2022"
"Old-fashioned beef bourguignon with winter vegetables
Origin: Suisse","Microcity","a","c","","Suisse","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/12/2022"
"Potato and seitan puff pastry with chive cream
 vegetarian","Microcity","a-","b","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/12/2022"
"Parmesan omelette, green salad or soup vegetarian","Microcity","a-","b","1","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","1/12/2022"
"Shrimp cocktail with citrus fruits, raw vegetables and semolina
Origin: Argentine","Microcity","b+","b","","Argentine","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","1/12/2022"
"Seitan mariné, boulgour, courge rotie, amandes torréfiées et sauce brune","Native","a","b","","","10.5","11","12.5","11.5","","","","","E 10.50 CHFD 11.00 CHFC 11.50 CHFV 12.50 CHF","1/12/2022"
"Burger Vegan
Buns, steak, salade, compotée d'oignons, sauce burger végan, frites","Native","b+","c","","","10.5","11","12.5","11.5","","","","","E 10.50 CHFD 11.00 CHFC 11.50 CHFV 12.50 CHF","1/12/2022"
"Grilled chicken, spinach, emmental and herb cream galetteOrigin: CH","Niki","c+","e","","CH","","","","","","","8.50","","8.50 CHF","1/12/2022"
"Gourmet waffle, eggplant caviar, tomato confit, arugula and parmesan shavings vegetarian","Niki","a-","d","1","","","","","","","","8.50","","8.50 CHF","1/12/2022"
"Beef pot au feu (grandma's style)
	
Origin: Suisse","Ornithorynque","a","c","","Suisse","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","1/12/2022"
"Farfalle with smoked salmon, carrots and dill creamOrigin: Ecosse","Ornithorynque","a-","c","","Ecosse","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","1/12/2022"
"Vegetarian noodles with vegetables, soy and Thai sauce vegetarian","Ornithorynque","a","c","1","","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","1/12/2022"
"cod fillet with basil and risoni pine nuts and julienne of leek","PUUR","b+","d","","","","","","","","","15.90","","15.90 CHF","1/12/2022"
"White wine risotto with squash, spinach shoots and salad menu","PUUR","b+","d","","","","","","","","","14.90","","14.90 CHF","1/12/2022"
"Entrecôte de boeuf beurre aux herbes  pommes frites et salade verteOrigin: CH","PUUR","b-","e","","CH","","","","","","","","","PUUR","1/12/2022"
"Escalope Milanaise, spaghetti and sautéed green beans","Piano","b+","e","","","","","","","","","13.50","","13.50 CHF","1/12/2022"
"Red grill:
Tagliata of fried beef saladOrigin: CH","Piano","b","e","","CH","","","","","","","15.50","","15.50 CHF","1/12/2022"
"Vegetarian Grill:
Vegetable Steak vegetarian","Piano","b-","c","1","","","","","","","","8.50","","8.50 CHF","1/12/2022"
"Notre carte de Pizzas:
Assortiment varié (4 saisons, Reine,  buffalina...)","Piano","b-","e","","","","","","","","","13.50","","13.50 CHF","1/12/2022"
"Salade végétarienne:
Pousse d'épinards, Courge rôtie, Gruyère Suisse, Noix, Falafel et Origan frais vegetarian","Piano","c","d","1","","","","","","","","11.00","","11.00 CHF","1/12/2022"
"BOWL OF THE DAY
(Sesame shrimp, Falafel, Rice noodles, White cabbage, Cucumber, Chinese cabbage, black and white beans with parsley, Spinach flan and Corn on the cob)","Zaha","b-","e","","","","","","","","","½ 7.50","7.5","½ 7.50 CHF12.00 CHF","1/12/2022"
"Chef Noï's Asia salad","Alpine","b-","b","","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","1/13/2022"
"Vegetable stew
Provençal style
Semolina with thyme","Alpine","b","b","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/13/2022"
"Spring roll
sweet chili sauce
Rice with vegetables","Alpine","b","b","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","1/13/2022"
"Swiss Beef CheeseBurger
Sesame Bun
Coleslaw Salad
French Fries","Alpine","b","d","","","13.5","14","15.5","14.5","","","","","E 13.50 CHFD 14.00 CHFC 14.50 CHFV 15.50 CHF","1/13/2022"
"Orecchiette with anchovies, broccoli cream, almonds and olives
				
Origin: Espagne","Arcadie","a","c","","Espagne","","","","","2.3","","","","2.30 CHF/100g","1/13/2022"
"Whole wheat penne gratin with cream of squash and grana padano vegetarian","Arcadie","a","b","1","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/13/2022"
"Mozzarella balls, dried tomatoes, capers, caponata, wheat semolina, salad vegetarian","Arcadie","b+","c","1","","","","","","","","12.00","","12.00 CHF","1/13/2022"
"Cauliflower and lentil massala
Organic smoked tofu vegetarian","Campus Biotech","b","d","1","","","","","","","","0.00","","0.00 CHF","1/13/2022"
"Nasi Goreng with vegetables vegetarian","Epicure","a","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","1/13/2022"
"Pasta of the day
Amatricianna Sauce
or
Cream of spinach sauce","Esplanade","b+","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/13/2022"
"Pizza margherita","Esplanade","b","c","","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/13/2022"
"Pizza Merguez and onions","Esplanade","b","c","","","9","10","12","11","","","","","E 9.00 CHFD 10.00 CHFC 11.00 CHFV 12.00 CHF","1/13/2022"
"Salade végétarienne:
Pousse d'épinards, Courge rôtie, Gruyère Suisse, Noix, Falafel et Origan frais vegetarian","Giacometti","c","d","1","","","","","","","","8.00","","8.00 CHF","1/13/2022"
"Salade de saison au poulet:
Mesclun, champignons poêlés, choux rouge vinaigré framboise, poulet et croutons aux herbes Origin: CH","Giacometti","b","e","","CH","","","","","","","8.00","","8.00 CHF","1/13/2022"
"Notre gamme de sandwichs:
Assortiment varié (Dinde fumée, tomate mozza...)","Giacometti","b-","e","","","","","","","","","7.00","","7.00 CHF","1/13/2022"
"Calamari à la Romaine
Aïoli sauce
Accompanied by sautéed potatoes and carrot sticksOrigin: Espagne","La Ruche","a","b","","Espagne","11","12","0","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 0.00 CHF","1/13/2022"
"Sautéed gnocchi with seasonal vegetables","La Ruche","a+","b","","","8","9","0","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 0.00 CHF","1/13/2022"
"Macaroni du Chalet (leeks, Gruyère) vegetarian","Le Klee by Novae","a-","b","1","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/13/2022"
"Falafel sandwich, crunchy with a mixture of beans, chickpeas, spices, pickles and tarator sauce vegetarian","Li Beirut - Food Truck","a-","d","1","","7.5","","","","","","E 7.50","","E 7.50 CHF","1/13/2022"
"Chiche Taouk Sandwich,
Chicken with lemon, seven Lebanese spices and garlic sauce","Li Beirut - Food Truck","b+","e","","","","","","","","","9.00","","9.00 CHF","1/13/2022"
"Chicken Chawarma Sandwich, Spit roasted marinated chicken strips, salad, pickles and garlic sauce","Li Beirut - Food Truck","b","e","","","","","","","","","9.00","","9.00 CHF","1/13/2022"
"Batata sandwich with potato and garlic sauce vegetarian","Li Beirut - Food Truck","c+","d","1","","","","","","","","","","Li Beirut - Food Truck","1/13/2022"
"Sandwich Chiche Taouk, 
Poulet au citron, sept épices libanaises et sauce à l'ail","Li Beirut - Food Truck","b+","e","","","","","","","","","","","Li Beirut - Food Truck","1/13/2022"
"Sandwich Kafta, 
viande hachée grillé avec persil, cornichon","Li Beirut - Food Truck","c+","e","","","","","","","","","","","Li Beirut - Food Truck","1/13/2022"
"Plateau végétarien,
Houmous, caviar d'aubergine, salade de persil, fromage sambousik, fattayer épinard et falafel vegetarian","Li Beirut - Food Truck","b-","d","1","","","","","","","","","","Li Beirut - Food Truck","1/13/2022"
"Hake with almonds and steamed apples
Origin: France","Microcity","a","c","","France","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/13/2022"
"Curried vegetable samosas, lentil dhal with Quorn
 vegetarian","Microcity","a","b","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/13/2022"
"Parmesan omelette, green salad or soup vegetarian","Microcity","a-","b","1","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","1/13/2022"
"Shrimp cocktail with citrus fruits, raw vegetables and semolina
Origin: Argentine","Microcity","b+","b","","Argentine","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","1/13/2022"
"Quorn, quinoa à la spiruline, pois chiches et patate douce rotie. (sauce carotte)","Native","a","b","","","10.5","11","12.5","11.5","","","","","V 12.50 CHFE 10.50 CHFD 11.00 CHFC 11.50 CHF","1/13/2022"
"Grilled chicken, spinach, emmental and herb cream galetteOrigin: CH","Niki","c+","e","","CH","","","","","","","8.50","","8.50 CHF","1/13/2022"
"Gourmet waffle, eggplant caviar, tomato confit, arugula and parmesan shavings vegetarian","Niki","a-","d","1","","","","","","","","8.50","","8.50 CHF","1/13/2022"
"Pork ribs lacquered with honey, French fries and winter vegetablesOrigin: Suisse","Ornithorynque","a","c","","Suisse","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","1/13/2022"
"Farfalle with smoked salmon, carrots and dill creamOrigin: Ecosse","Ornithorynque","a-","c","","Ecosse","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","1/13/2022"
"Vegetarian noodles with vegetables, soy and Thai sauce vegetarian","Ornithorynque","a","c","1","","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","1/13/2022"
"Thai green curry with tofu and squash soba noodles and cashew nuts vegetarian","PUUR","a","d","1","","","","","","","","14.90","","14.90 CHF","1/13/2022"
"Simmered chicken with orange mustard sauce, polenta and braised kaleOrigin: CH","PUUR","a-","e","","CH","","","","","","","14.90","","14.90 CHF","1/13/2022"
"Beef entrecote with herb butter, French fries and green saladOrigin: CH","PUUR","b-","e","","CH","","","","","","","","","PUUR","1/13/2022"
"Al Limone and Linguini Turkey Cutlet","Piano","b-","e","","","","","","","","","13.50","","13.50 CHF","1/13/2022"
"Red grill:
Tagliata of fried beef saladOrigin: CH","Piano","b","e","","CH","","","","","","","15.50","","15.50 CHF","1/13/2022"
"Vegetarian Grill:
Vegetable Steak vegetarian","Piano","b-","c","1","","","","","","","","8.50","","8.50 CHF","1/13/2022"
"Notre carte de Pizzas:
Assortiment varié (4 saisons, Reine,  buffalina...)","Piano","b-","e","","","","","","","","","13.50","","13.50 CHF","1/13/2022"
"Salade végétarienne:
Pousse d'épinards, Courge rôtie, Gruyère Suisse, Noix, Falafel et Origan frais vegetarian","Piano","c","d","1","","","","","","","","11.00","","11.00 CHF","1/13/2022"
"BOWL OF THE DAY
Sesame chicken, Fallafel, Stir-fried noodles, Carrots, Cucumber, Red cabbage, Wheat tabbouleh and Vegetable Samossa, Wakame)","Zaha","b-","e","","","","","","","","","½ 7.50","7.5","½ 7.50 CHF12.00 CHF","1/13/2022"
"Chef Noï's Asia salad","Alpine","b-","b","","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","1/14/2022"
"Waste Food Menu
Chef's Choice","Alpine","b+","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/14/2022"
"Sweet and Sour Chicken Tenderloins
Wheat noodles","Alpine","b+","d","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","1/14/2022"
"Choice of grilled meats","Alpine","a-","d","","","11.5","12","13.5","12.5","","","","","E 11.50 CHFD 12.00 CHFC 12.50 CHFV 13.50 CHF","1/14/2022"
"Orecchiette with anchovies, broccoli cream, almonds and olives
				
Origin: Espagne","Arcadie","a","c","","Espagne","","","","","2.3","","","","2.30 CHF/100g","1/14/2022"
"Whole wheat penne gratin with cream of squash and grana padano vegetarian","Arcadie","a","b","1","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/14/2022"
"Mozzarella balls, dried tomatoes, capers, caponata, wheat semolina, salad vegetarian","Arcadie","b+","c","1","","","","","","","","12.00","","12.00 CHF","1/14/2022"
"Sautéed ASC shrimp
Curry sauce
Basmati rice
Romanesco cabbage with fennel seeds","Campus Biotech","a-","e","","","","","","","","","0.00","","0.00 CHF","1/14/2022"
"Nasi Goreng with vegetables vegetarian","Epicure","a","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","1/14/2022"
"Mountain Pasta Gratin
or
Pasta with rosé sauce","Esplanade","a-","b","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/14/2022"
"Pizza margherita","Esplanade","b","c","","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/14/2022"
"Spicy Salami Pizza","Esplanade","d+","d","","","9","10","12","11","","","","","E 9.00 CHFD 10.00 CHFC 11.00 CHFV 12.00 CHF","1/14/2022"
"Salade végétarienne:
Pousse d'épinards, Courge rôtie, Gruyère Suisse, Noix, Falafel et Origan frais vegetarian","Giacometti","c","d","1","","","","","","","","8.00","","8.00 CHF","1/14/2022"
"Salade de saison au poulet:
Mesclun, champignons poêlés, choux rouge vinaigré framboise, poulet et croutons aux herbes Origin: CH","Giacometti","b","e","","CH","","","","","","","8.00","","8.00 CHF","1/14/2022"
"Notre gamme de sandwichs:
Assortiment varié (Dinde fumée, tomate mozza...)","Giacometti","b-","e","","","","","","","","","7.00","","7.00 CHF","1/14/2022"
"Pepper Beef Stir-Fry
Accompanied by Ebly wheat and broccoli with almonds","La Ruche","a+","d","","","12","13","0","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 0.00 CHF","1/14/2022"
"Bulgur Paella
White beans, beets and turnips","La Ruche","a","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/14/2022"
"Macaroni du Chalet (leeks, Gruyère) vegetarian","Le Klee by Novae","a-","b","1","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/14/2022"
"Falafel sandwich, crunchy with a mixture of beans, chickpeas, spices, pickles and tarator sauce vegetarian","Li Beirut - Food Truck","a-","d","1","","7.5","","","","","","E 7.50","","E 7.50 CHF","1/14/2022"
"Chiche Taouk Sandwich,
Chicken with lemon, seven Lebanese spices and garlic sauce","Li Beirut - Food Truck","b+","e","","","","","","","","","9.00","","9.00 CHF","1/14/2022"
"Chicken Chawarma Sandwich, Spit roasted marinated chicken strips, salad, pickles and garlic sauce","Li Beirut - Food Truck","b","e","","","","","","","","","9.00","","9.00 CHF","1/14/2022"
"Batata sandwich with potato and garlic sauce vegetarian","Li Beirut - Food Truck","c+","d","1","","","","","","","","","","Li Beirut - Food Truck","1/14/2022"
"Sandwich Chiche Taouk, 
Poulet au citron, sept épices libanaises et sauce à l'ail","Li Beirut - Food Truck","b+","e","","","","","","","","","","","Li Beirut - Food Truck","1/14/2022"
"Sandwich Kafta, 
viande hachée grillé avec persil, cornichon","Li Beirut - Food Truck","c+","e","","","","","","","","","","","Li Beirut - Food Truck","1/14/2022"
"Plateau végétarien,
Houmous, caviar d'aubergine, salade de persil, fromage sambousik, fattayer épinard et falafel vegetarian","Li Beirut - Food Truck","b-","d","1","","","","","","","","","","Li Beirut - Food Truck","1/14/2022"
"Sweet and sour pork, fragrant rice
Origin: Suisse","Microcity","a-","c","","Suisse","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/14/2022"
"Gnocchi and parsnip gratin with gorgonzola cheese and green salad
 vegetarian","Microcity","a","b","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/14/2022"
"Parmesan omelette, green salad or soup vegetarian","Microcity","a-","b","1","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","1/14/2022"
"Shrimp cocktail with citrus fruits, raw vegetables and semolina
Origin: Argentine","Microcity","b+","b","","Argentine","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","1/14/2022"
"Boulette à la sauce tomate épicée, carotte au four, spaghetti complète et graines de courges","Native","a","b","","","10.5","11","12.5","11.5","","","","","V 12.50 CHFE 10.50 CHFD 11.00 CHFC 11.50 CHF","1/14/2022"
